date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:25	3891/3891	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Oct%202023%2005:49:28%20GMT	https://theme.dsngrid.com/robots.txt		(from )
10:49:26	170513/170513	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:41%20GMT	https://theme.dsngrid.com/blackdsn/dark/	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/index.html	(from )
10:49:26	942/942	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:29%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo-32x32.png	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/assets/img/logo-32x32.png	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:26	10039/10039	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:29%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo-192x192.png	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/assets/img/logo-192x192.png	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:27	848/848	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20May%202023%2017:07:00%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/css/plugins.css	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/assets/css/plugins.css	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:28	184430/184430	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20May%202023%2017:07:01%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/css/style.css	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/assets/css/style.css	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:28	5368/5368	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:29%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo-light.png	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/assets/img/logo-light.png	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:29	5442/5442	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:30%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo.png	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/assets/img/logo.png	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:30	135250/135250	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:31%20GMT	https://theme.dsngrid.com/blackdsn/dark/business.html	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/business.html	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:30	170513/170513	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:41%20GMT	https://theme.dsngrid.com/blackdsn/dark/index.html	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/index-2.html	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:34	121539/121539	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:31%20GMT	https://theme.dsngrid.com/blackdsn/dark/architecture.html	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/architecture.html	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:36	129167/129167	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:45%20GMT	https://theme.dsngrid.com/blackdsn/dark/personal.html	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/personal.html	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:36	133280/133280	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:46%20GMT	https://theme.dsngrid.com/blackdsn/dark/photographer.html	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/photographer.html	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:36	100523/100523	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:51%20GMT	https://theme.dsngrid.com/blackdsn/dark/resume.html	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/resume.html	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:37	69802/69802	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:42%20GMT	https://theme.dsngrid.com/blackdsn/dark/metro-portfolio-1.html	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/metro-portfolio-1.html	(from https://theme.dsngrid.com/blackdsn/dark/)
10:49:37	69064/69064	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:43%20GMT	https://theme.dsngrid.com/blackdsn/dark/metro-portfolio-2.html	C:/My%20Web%20Sites/Dar/theme.dsngrid.com/blackdsn/dark/metro-portfolio-2.html	(from https://theme.dsngrid.com/blackdsn/dark/)
